rank	sampletag	genes
47	Penicillium_janthinellum_NRRL_35451	354
460	Pichia_sporocuriosa_NRRL_Y-27347	5161
690	Saccharomycopsis_amapae_CBS_7872	5652
920	Metschnikowia_rubicola_CBS_15344	6235
1149	Lipomyces_orientalis_NRRL_Y-27927	6996
1379	Chrysothrix_sp._TS-e1954_Spribille_s.n._12.05.2019-TS-e1954	7629
1609	Arthroderma_sp._MBC_290_MBC_290	8396
1838	Beauveria_bassiana_MBC_105	8946
2068	Camptophora_hylomeconis_CBS_113311	9355
2298	Pichia_sp._PH4023_PH4023	9794
2528	Talaromyces_trachyspermus_4014	10170
2757	Cytospora_piceae_CFCC52841	10515
2987	Proliferodiscus_dingleyae_D683	10915
3217	Neosartorya_sp._G150_14_G150-14	11356
3446	Talaromyces_liani_FKII-L2-CM-DRAB3	11868
3481	Schizophyllum_commune_H4-8	11961
3676	Cercophora_newfieldiana_SMH2532-1	12411
3906	Fusarium_virguliforme_FV201	13403
4135	Ogataea_polymorpha_x_Ogataea_parapolymorpha_CBS_1977	14697
4316	Paramarasmius_palmivorus_GH-12	18307
