asmid	out	locustag	phylum	genus	species	status	n_training_models	busco_valid	busco_validated	pasa_fallback_models	total_genes	total_bp	contigs	n50	asm_risk	asm_risk_reason	last_line	logpath
GCA_029532445.1_ASM2953244v1	Scedosporium_apiospermum_B4	F7F0AAC9	Ascomycota	Scedosporium	Scedosporium apiospermum	FAILED_augustus_training									NA	no asm_stats	[06/13/26 13:37:28]: AUGUSTUS training failed, check logfiles	genome_annotation/Scedosporium_apiospermum_B4/logfiles/funannotate-predict.log
GCA_029532475.1_ASM2953247v1	Scedosporium_apiospermum_B8	FE6348D3	Ascomycota	Scedosporium	Scedosporium apiospermum	FAILED_augustus_training									NA	no asm_stats	[06/13/26 13:32:50]: AUGUSTUS training failed, check logfiles	genome_annotation/Scedosporium_apiospermum_B8/logfiles/funannotate-predict.log
GCA_055690705.1_ASM5569070v1	Omphalotus_olearius_AS_2790	F20C03B1	Basidiomycota	Omphalotus	Omphalotus olearius	FAILED_cmd_error									NA	no asm_stats	[04/29/26 23:21:09]: CMD ERROR: /opt/linux/rocky/8.x/x86_64/pkgs/genemarkESET/4.72_lic/gmes_petap.pl --ES --max_intron 3	genome_annotation/Omphalotus_olearius_AS_2790/logfiles/funannotate-predict.log
GCA_038093735.1_JMMU340	Boletus_aff._violaceofuscus_TRTC163470	F0985C92	Basidiomycota	Boletus	Boletus aff. violaceofuscus	FAILED_too_few_models	1								NA	no asm_stats	[06/21/26 15:49:21]: Not enough gene models 1 to train Augustus (30 required), exiting	genome_annotation/Boletus_aff._violaceofuscus_TRTC163470/logfiles/funannotate-predict.log
GCA_038089135.1_TH11141-Guyana-eduloid	Boletus_edulis_TH1141B	F7650DC2	Basidiomycota	Boletus	Boletus edulis	FAILED_too_few_models	1								NA	no asm_stats	[06/22/26 19:05:30]: Not enough gene models 1 to train Augustus (30 required), exiting	genome_annotation/Boletus_edulis_TH1141B/logfiles/funannotate-predict.log
GCA_018606675.1_ASM1860667v1	Malasseziomycetes_sp._bin8	FB953FC1	Basidiomycota		Malasseziomycetes sp.	FAILED_too_few_models	13								NA	no asm_stats	[06/21/26 12:47:32]: Not enough gene models 13 to train Augustus (30 required), exiting	genome_annotation/Malasseziomycetes_sp._bin8/logfiles/funannotate-predict.log
GCA_001013415.1_ASM101341v1	Puccinia_arachidis_MRf11	FF2C3394	Basidiomycota	Puccinia	Puccinia arachidis	FAILED_too_few_models	26								NA	no asm_stats	[06/22/26 11:50:19]: Not enough gene models 26 to train Augustus (30 required), exiting	genome_annotation/Puccinia_arachidis_MRf11/logfiles/funannotate-predict.log
GCA_004011275.1_ASM401127v1	Trichosporon_inkin_C-2155	F852FC8F	Basidiomycota	Trichosporon	Trichosporon inkin	FAILED_too_few_models	1	1	1						NA	no asm_stats	[06/23/26 07:16:01]: Not enough gene models 1 to train Augustus (30 required), exiting	genome_annotation/Trichosporon_inkin_C-2155/logfiles/funannotate-predict.log
GCA_002994555.1_CA11	Uromyces_transversalis_CA11	F2D6DAE5	Basidiomycota	Uromyces	Uromyces transversalis	FAILED_too_few_models	6								NA	no asm_stats	[06/23/26 00:46:35]: Not enough gene models 6 to train Augustus (30 required), exiting	genome_annotation/Uromyces_transversalis_CA11/logfiles/funannotate-predict.log
GCA_002994575.1_FL11_1	Uromyces_transversalis_FL11_1	F63A685E	Basidiomycota	Uromyces	Uromyces transversalis	FAILED_too_few_models	4								NA	no asm_stats	[06/23/26 10:28:38]: Not enough gene models 4 to train Augustus (30 required), exiting	genome_annotation/Uromyces_transversalis_FL11_1/logfiles/funannotate-predict.log
GCA_002994595.1_FL11_2	Uromyces_transversalis_FL11_2	FD53E2EA	Basidiomycota	Uromyces	Uromyces transversalis	FAILED_too_few_models	9	9	9						NA	no asm_stats	[06/22/26 03:59:33]: Not enough gene models 9 to train Augustus (30 required), exiting	genome_annotation/Uromyces_transversalis_FL11_2/logfiles/funannotate-predict.log
GCA_041722615.1_BTNG35	cf._Tylopilus_sp._TRTC175157_TRTC175157	FEAC34C7	Basidiomycota		cf. Tylopilus sp. TRTC175157	FAILED_too_few_models	3								NA	no asm_stats	[06/22/26 19:04:58]: Not enough gene models 3 to train Augustus (30 required), exiting	genome_annotation/cf._Tylopilus_sp._TRTC175157_TRTC175157/logfiles/funannotate-predict.log
GCA_000469055.2_ASM46905v2	Austropuccinia_psidii_MF-1	FBF9C705	Basidiomycota	Austropuccinia	Austropuccinia psidii MF-1	INCOMPLETE_unknown		503	502						NA	no asm_stats	[06/24/26 19:27:37]: Running Augustus gene prediction using austropuccinia_psidii_mf-1 parameters	genome_annotation/Austropuccinia_psidii_MF-1/logfiles/funannotate-predict.log
GCA_056956825.1_ASM5695682v1	Leucoagaricus_bulbosus_ZRL20241576	F12037D5	Basidiomycota	Leucoagaricus	Leucoagaricus bulbosus	INCOMPLETE_unknown									NA	no asm_stats	JBPQGK010000007.1 Leucoagaricus bulbosus strain ZRL20241576 scaffold7_len2053_cov52_read150_maxK75, whole genome shotgun	genome_annotation/Leucoagaricus_bulbosus_ZRL20241576/logfiles/funannotate-predict.log
