ASMID	total_bp	contigs	N50	max_len
GCA_000469055.2_ASM46905v2	564633442	101940	6435	140277
GCA_001013415.1_ASM101341v1	4192209	1554	2522	21987
GCA_002994555.1_CA11	6884163	2773	2395	6971
GCA_002994575.1_FL11_1	2354024	895	2484	9201
GCA_002994595.1_FL11_2	15744920	6000	2545	7318
GCA_004011275.1_ASM401127v1	162291	48	3111	13590
GCA_018606675.1_ASM1860667v1	127029	15	8224	15569
GCA_025201825.1_Phapa1	1057430280	7464	222464	3054464
GCA_029532445.1_ASM2953244v1	7055829	2246	3102	23244
GCA_029532475.1_ASM2953247v1	6834466	2193	3051	24150
GCA_038089135.1_TH11141-Guyana-eduloid	509737	113	4515	70489
GCA_038093735.1_JMMU340	2389115	805	2920	38356
GCA_041722395.1_DLT08-094	114717	24	4925	22130
GCA_041722615.1_BTNG35	385575	128	2667	11486
GCA_055473935.1_ASM5547393v1	1273959149	350	47183946	87571629
GCA_055690705.1_ASM5569070v1	30189	7	5330	8745
GCA_056882555.1_ASM5688255v1	63858484	11541	6806	95974
GCA_056956645.1_ASM5695664v1	34237799	283	461028	1913465
GCA_056956825.1_ASM5695682v1	40331279	6091	8846	524198
GCA_058224995.1_ASM5822499v1	18229775	25	2010320	2968925
GCA_943181505.1_UFV02.1	858710	2	429355	429355
